序号,标题,网址,是否违规,违规词
1,陕西师范大学图书馆,http://www.baidu.com/link?url=hvVEJp_1x7cqngDz3kqjznrdNuE71BxFWauaXDFGimsGLFJR1ZIcvix5mvl2tXdJ,不违规,
2,社会科学处,http://www.baidu.com/link?url=ruO89ZtEkBJoEbUUTLeLilDPA8SSFGQyPcKqiw3hUd5cbtCIfiDCzWTlUeZ96lGf,不违规,
3,陕西师范大学,http://www.baidu.com/link?url=57jZKrOPo4f8_2yDHUChuOOOME9Su0bShK5LqeS3ocCzr8eoso3scLMEU2s37tQh,不违规,
4,教师教育办公室,http://www.baidu.com/link?url=S1M1QNXUN-w-DtC_sVknGKvwC4LKYVWb0STdQBA4YmDqPE_czF0S7jbdNwD_iPNf,不违规,
5,河山网 || 陕西师范大学西北历史环境与经济社会发展研究院,http://www.baidu.com/link?url=GsmasK7v5N0AF502ae9rLg9IpTIadBfmZJ79wn2SF8Nf5rr7qjCvOr08SJ4dR3t0,不违规,
6,陕西师范大学材料科学与工程学院,http://www.baidu.com/link?url=U7F3lH6HwNV2qV45jn0jqmmM5GA0dfmxldyyCH1DlCF21C9uqv50hgf-HhQo8N3r,不违规,
7,陕西师范大学国际汉学院,http://www.baidu.com/link?url=rx72v_s0z6GLCCuUShrnWfkqE_VxMh6z-SQKBgou46N_crCCg6OzVgU8_qSAmfOi,不违规,
8,本科生教育网,http://www.baidu.com/link?url=fkgBvYCSCiqQ_1ohpeJnU18wXe4xV7QeEMgQXtSFuJIDGFJ_WXv0f-xZL7q6EZs4,不违规,
9,陕西师范大学国有资产管理处(物资设备招标采购管理办公室),http://www.baidu.com/link?url=7yv_0i-6c3SuW9MjqVEyKqDc-hxC1TBDR86cOl7xuVCxflpCD4DReJ2bF41P5LWN,不违规,
10,陕师大校友会,http://www.baidu.com/link?url=hZiGx23Rj_msj11sUqzk-WfPukxOC_cDLgw0GjueFGAV0HTYyGYQrk6ygwYuXrs-,不违规,
11,人事处,http://www.baidu.com/link?url=5zbc5vbDEYhwb9-xv_YT6YZMtJg9v-NmX7WKLgVVQL4z-IPuukmjk6juFsLOnuP0,不违规,
12,中国教育后勤协会信息化建设专业委员会,http://www.baidu.com/link?url=cq5Ka-BjKMv-B9KXfd_45dVJfvcoHMMDE0ofXBkAX_fuXdA92F5xTZ-JNM0zXCHE,不违规,
13,地理科学与旅游学院,http://www.baidu.com/link?url=EPTPnemvyJwQNPfqKUx3xCQC9W5yjEphMpp5rQXmumlgsTL2TQt6Sgh4XOtyLCTk,不违规,
14,数学与信息科学学院,http://www.baidu.com/link?url=sen4cfFBhZ5aWbHl1ThH_rMsoh8SZN6MtIOyxAHYspcYZrtuQVViIPf24ASMK-u3,不违规,
15,陕西师范大学物理学与信息技术学院-首页,http://www.baidu.com/link?url=9ZDaiWD8mBNdq1y_cljjs3VTMsn5p4WumxDn4x0yt2yBwvI8hWT7vOO_8dESKVYD,不违规,
16,陕西师范大学美术学院 师大美术学院-网站制作技术支持:新势力网络,http://www.baidu.com/link?url=qHSJhEkZh6Ip9mq53YEQxQVUGJMYExVO0Vkbo92BsEfMguzxXRZcRA8YK_QyVahz,不违规,
17,欢迎光临陕西师范大学历史文化学院官网,http://www.baidu.com/link?url=N2hFPccpeFawwnggtxYLyJRIRcqb8YXq6V3D8d1krxxR7Ke2ClaoVX-65HF0oFNe,不违规,
18,陕西师范大学附属小学,http://www.baidu.com/link?url=n0Cw1_63lkMDtC4PYgyg8gvgoSiJF_NqeCbjW5nDDw7,不违规,
19,陕西师范大学发展规划处网站,http://www.baidu.com/link?url=gBDQJuinFT25FdtyVrfixC6ijcpxN1pPt9ciZw6iIsQ_UpIbi5Z4WnY759ZfbnYG,不违规,
20,陕西师范大学附属小学,http://www.baidu.com/link?url=VuMMb15ss04dqHtQZsZ6r7nZpKZW1xoj5gDlWRTQnQW,不违规,
21,陕西师范大学电子离校网站,http://www.baidu.com/link?url=7RXYsVAD40jOc_kLLLYQxHEJEpf4X1X9mYmtM0gvR49aSH6rcwa2I2MIfdEkXIx2,不违规,
22,陕西师范大学化学化工学院,http://www.baidu.com/link?url=GDv1NXLckLAmMX4HOsr-g3i6-h4f-N8wK_4pTRgKyucSdx9RBzGRENxTezeOogbG,不违规,
23,陕师大-科学技术处,http://www.baidu.com/link?url=XOCjpcF643sMoY1hig2gxQaPOojfpZQBTAXVdRp7CUJm40WBEFDWf3p85sLLGFpA,不违规,
24,陕西师范大学教职工之家 陕师大工会 陕西师大工会 陕西师范大学...,http://www.baidu.com/link?url=cy5LC95E1IxMBus098FYymQfHk4J_KMnm6mAvZrEFu3,不违规,
25,陕西师范大学计算机科学学院,http://www.baidu.com/link?url=Q0nSt-9m3LED282VXebtTWO6WFqdF10F5tW8KYoqQvlnqOt9HdbRxdOvOoMTo8rJ,不违规,
26,民族教育学院,http://www.baidu.com/link?url=StGMF-c9PDnwe9wBxom-pY2MokYc_Va23TVw0ILASC9-P05DJ6OdFkDNtrIFB-oA,不违规,
27,陕西师范大学西北国土资源研究中心,http://www.baidu.com/link?url=dGku-hjcB6mN9yvyGP58QhctmyMeK11ENaaaYaRWjXMbp6znN-GE0l8vQp22VzEv,不违规,
28,陕西师范大学教师专业能力发展中心.,http://www.baidu.com/link?url=N_RpX1kj2bhcQGmWwk9foxcHzE-pGSRQLjmFgCHgug2b7QaHqxGNzjXmSfrBdaXd,不违规,
29,应用表面与胶体化学教育部重点实验室,http://www.baidu.com/link?url=5nTqw4_0s_cFJ6mWuNyAlgPAN7dQ40Fjju7iabCtzdrIfTYIaiac7OMR7ovOEkNy,不违规,
30,应用表面与胶体化学教育部重点实验室,http://www.baidu.com/link?url=sYgLUuXQ_r3qZGt6ZUhaLkneBTm12eGGFWgjFfwzsgkESLREU9m-R3jz-YguzM8A,不违规,
31,陕西师范大学食品学院,http://www.baidu.com/link?url=lMGUh2vpY1rfdzcU_LJF5y9EtaVxkxVkVJwLmLzv1_OpyRYaQqq2yN7cI1uU5yh8,不违规,
32,Shaanxi Normal University,http://www.baidu.com/link?url=v0dS68sSK4YEdjVZ2qPYEKTdPZT9BlVmlpU1v0igHB9O9EHAie22nExQr4ZBaQ9V,不违规,
33,国际交流与合作处(港澳台办公室),http://www.baidu.com/link?url=HvZkz8zpbDdUCPhRgSP0UraLvoL6iGtHD_N0hHK_NDA6gKwjP6vjjTn0PaZxmLK7,不违规,
34,后勤管理处网站,http://www.baidu.com/link?url=r8jjob5EfvK0lDM7QQWX6LAcZpagEMoWcXn9hZx2S4UX3Bz6kXIpycty-vXHyIuL,不违规,
35,党委组织部(党校),http://www.baidu.com/link?url=DrLauK6tIa0EaHe-NH8WPZ0PxHxuVE_rLAo7NWEX2RKtaoYyNIFxQ7mz0WXacPw1,不违规,
36,陕西师范大学 现代教学技术教育部重点实验室,http://www.baidu.com/link?url=OzxJLaIHhLEsUFdovUxS20iA9g13zEZeYW-gl2OTqdEC-iFQrT2QIIFJdH0AYdN1,不违规,
37,陕西师范大学中国西部边疆研究院,http://www.baidu.com/link?url=ajyH3-Qu_NgNXI_CUelsgf-aXhrc4H1oyU2AWY7TqtqSbFWpm85jez7D-0RJxxmI,不违规,
38,陕西师范大学 社区居委会,http://www.baidu.com/link?url=pzDIUGDfTP2wA0Msyr1wX-VQm9mBTnDAEEriFdyOHlzJd2xNpN0hJ4gWIjUYfFox,不违规,
