序号,标题,网址,是否违规,违规词
1,陕西师范大学图书馆,http://www.baidu.com/link?url=MbFyF1AyH3yXrSCyC_WPWwPBNWBr8uq5mydch1uqRbBr6jbq_z0cMWjd3u47ToJR,不违规,
2,社会科学处,http://www.baidu.com/link?url=kqr0YwjCN-0JhFj35N4D7EjJmUp1qCaqumk88fqDED2UO23-2j_hBW67iWS-K1fK,不违规,
3,陕西师范大学,http://www.baidu.com/link?url=jbzvmaeF_GSzHvifFG-uQjhz8FCOudxXYuxp36XqJBzd0_cCdGAtSWIaWTDGLHdB,不违规,
4,教师教育办公室,http://www.baidu.com/link?url=IlEO-Z-PdvNCTdUDW6zpSm6bBVJY1OMrxK_s_osL3IoRhYqi7M8ZUOY4kuzZA7BL,不违规,
5,河山网 || 陕西师范大学西北历史环境与经济社会发展研究院,http://www.baidu.com/link?url=bNYbi_oO_nUijRG105s490_bcIEkjUtI51x4lkOOXdU1_QetdUcT_5gwQVBu_MM2,不违规,
6,陕西师范大学材料科学与工程学院,http://www.baidu.com/link?url=jwsRYFtbrKrr9ehRMzH25azghk-JvcGHIOxuAjfmcdgJq3n-RqAkaePY0gOFG7vx,不违规,
7,陕西师范大学国际汉学院,http://www.baidu.com/link?url=eUGAuCaFCj7hq-qqCTp2pgrSMSjXxWmztEqfMUs737JvcKtl-NHkFYAgbz9OtGuH,不违规,
8,本科生教育网,http://www.baidu.com/link?url=I9PGlATgBmacigDaVHipPCTMijYPBJQXAExXx8rjAA6rgJMDP2o4PDqE2YhDM33z,不违规,
9,陕西师范大学国有资产管理处(物资设备招标采购管理办公室),http://www.baidu.com/link?url=-PnZjBUBxeKQEdw_ab09zDpOI2vlC2ZiZRZwr70vDaT5Aet580nfMtErfXjfwXeZ,不违规,
10,陕师大校友会,http://www.baidu.com/link?url=OCQqXIP9zKLOG_kbw1RpCz6HD8yue0caP5xS4mERAzBGx9_wSFCRo48WvTV1FNyn,不违规,
11,人事处,http://www.baidu.com/link?url=YHxBUrv0pqFDTERAaJ7YzgS9713jaUOlFyzGAo9BNjPKImDkYV_NFh4_6nP4hSbC,不违规,
